ct_name,code_iaids,meaning,seq,ntsb_type,ntsb_code,avn_code,ntsb_codes_more,not_for_ntsb_use,eADMS_use,notes
ct_wind_vel         ,LVAR,Light and Variable,2.0,N,02, ,,False,True,
ct_wind_vel         ,UNK,Unknown,0.0,N,00, ,,False,True,
ct_wx_brief         ,ARDO,Aircraft Radio,4.0,N,04, ,,False,False,Keep for archived data
ct_wx_brief         ,INPE,In Person,1.0,N,01, ,,False,False,Keep for archived data
ct_wx_brief         ,TELE,Telephone,3.0,N,03, ,,False,False,Keep for archived data
ct_wx_brief         ,TTY,Teletype,2.0,N,02, ,,False,False,Keep for archived data
ct_wx_brief         ,TVRA,TV/Radio,5.0,N,05, ,,False,False,Keep for archived data
ct_wx_brief         ,UNK,Unknown,0.0,N,00, ,,False,False,Keep for archived data
ct_wx_brief_com     ,ABBR,Abbreviated,,,, ,,False,False,Keep for archived data
ct_wx_brief_com     ,FULL,Full,2.0,N,02, ,,False,False,Keep for archived data
ct_wx_brief_com     ,NOTP,Not pertinent,1.0,N,01, ,,False,False,Keep for archived data
ct_wx_brief_com     ,PARB,Partial - limited by briefer,4.0,N,04, ,,False,False,Keep for archived data
ct_wx_brief_com     ,PARP,Partial - limited by pilot,3.0,N,03, ,,False,False,Keep for archived data
ct_wx_brief_com     ,UNK,Unknown,0.0,N,00, ,,False,False,Keep for archived data
ct_wx_brief_src     ,AUTR,Automated Report,,,,,,False,True,New
ct_wx_brief_src     ,COMP,Company,6.0,N,06, ,,False,True,
ct_wx_brief_src     ,COWX,Commercial Weather Service,7.0,N,07, ,,False,True,
ct_wx_brief_src     ,FSS,Flight Service Station,3.0,N,03, ,,False,True,
ct_wx_brief_src     ,MIL,Military,9.0,N,09, ,,False,True,
ct_wx_brief_src     ,NET,Internet,,,, ,,False,True,
ct_wx_brief_src     ,NORE,No record of briefing,1.0,N,01, ,,False,False,Keep for archived data
